,test_mse,test_mae,test_r2,best_val_loss,final_val_r2,epochs_trained
TCN,0.7735726833343506,0.7515743970870972,0.31306934356689453,0.22909088229893573,0.6311500668525696,92.0
GRU,1.1177825927734375,0.906765878200531,0.0074117183685302734,0.1759210659989289,0.6400063037872314,21.0
LSTM,1.6154087781906128,1.109971046447754,-0.43447911739349365,0.4233499778700726,0.3124132752418518,36.0
Attention,1.6159838438034058,1.1156445741653442,-0.4349898099899292,0.4363920028720583,0.29045695066452026,63.0
