model,mse,rmse,mae,r2
VAR,0.010731499330639117,0.103592950197584,0.05437353931370876,0.9695422875165834
TCN,0.7537432312965393,0.8681838695210475,0.7384560108184814,-1.3617979288101196
GRU,0.861233115196228,0.9280264625517032,0.7875391840934753,-2.228143215179444
LSTM,1.581475019454956,1.257567103360674,1.096756100654602,-5.01825761795044
Attention,1.600816011428833,1.265233579790243,1.1096967458724976,-4.526119709014893
