,AAPL,MSFT,GOOGL,META,NVDA,AMZN,TSLA
AAPL,0.0,0.77,0.719,0.635,0.233,0.687,0.539
MSFT,0.885,0.0,0.712,0.36,0.616,0.856,0.641
GOOGL,0.778,0.75,0.0,0.595,0.706,0.182,0.725
META,0.811,0.54,0.784,0.0,0.703,0.975,0.842
NVDA,0.835,0.717,0.619,0.211,0.0,0.707,0.742
AMZN,0.508,0.362,0.398,0.2,0.311,0.0,0.721
TSLA,0.547,0.62,0.511,0.593,0.578,0.734,0.0
