model,mean_mae,ci_lower,ci_upper,ci_width
TCN,0.73845595,0.726684,0.74996763,0.02328366
GRU,0.7875391,0.7750778,0.79988927,0.024811447
LSTM,1.0967559,1.0809096,1.1125295,0.031619906
Attention,1.1096967,1.0938674,1.1248894,0.031021953
