,AAPL,MSFT,GOOGL,META,NVDA,AMZN,TSLA
AAPL,0,1,1,1,1,1,1
MSFT,1,0,1,1,1,1,1
GOOGL,1,1,0,1,1,1,1
META,1,1,1,0,1,1,1
NVDA,1,1,1,1,0,1,1
AMZN,1,1,1,1,1,0,1
TSLA,1,1,1,1,1,1,0
